INSTRUCTIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For each species group and each management strategy, please provide your estimates of the following in the table below:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Realistically, what is your best guess for the probability of persistence of the species group under the given management strategy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Realistically, what do you think is the lowest plausible (most pessimistic) probability of persistence of the species group under the given strategy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Realistically, what do you think is the highest plausible (most optimistic) probability of persistence of the species group under the given management strategy?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. How confident are you that your interval, from lowest to highest, includes the true probability of persistence? (Please enter a number between 50% and 100%)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOU DO NOT HAVE TO GIVE AN ESTIMATE FOR EVERY SPECIES GROUP AND/OR STRATEGY.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"If you do not feel confident making an estimate, please put an 'X' in the cell. 
If you think the species will not be affected by the management strategy, use 'B' to indicate that the effect is the same as the baseline scenario",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK IF THE PERFORMANCE OF THE STRATEGY IS HIGHER THAN THE BASELINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHECK IF THE BENEFIT (=STRATEGY-BASELINE) UNDER THE COMBINED STRATEGY IS HIGHER THAN THE BENEFIT UNDER THE INDIVIDUAL STRATEGY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative values = Estimate for baseline is higher than for strategy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Negative values = Estimate for individual strategy is greater than for the combination;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In most cases, the benefit of a strategies should be at least equal to or greater than the Baseline value. A management strategy with a benefit that is less than the baseline suggests that the strategy may have a worse effect on the species group than doing no management",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA = No estimate available for strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#VALUE! = No estimate available for individual strategy;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Also, the benefit of a combination strategy should be at least equal to or greater than for the individual strategies that are part of the combination.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X = No estimate available for combination strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPERT NAME: 11,Strategy: BASELINE,,,,,Strategy 1: PUBLIC LAND MANAGEMENT,,,,,Strategy 2: FORESTRY LAND MANAGEMENT,,,,,Strategy 3: PRIVATE LAND MANAGEMENT,,,,,Strategy 4: WETLAND AND AQUATIC HABITAT MANAGEMENT,,,,,Strategy 5:  WATER FLOW MANAGEMENT FROM DAMS,,,,,Strategy 6: DAM REMOVAL,,,,,Strategy 7: POLICY & REGULATION FOR POACHING & BYCATCH,,,,,Strategy 8: POLICY & REGULATION FOR WETLANDS,,,,,Strategy 9: MAINTAIN OR IMPROVE WATER QUALITY,,,,,"Strategy 10: BREEDING, REARING & REINTRODUCTION",,,,,Strategy 11: DISEASE MANAGEMENT,,,,,Strategy 12: FOREST PEST MANAGEMENT,,,,,Strategy 13: INVASIVE SPECIES MANAGEMENT,,,,,Strategy 14: PREDATOR MANAGEMENT,,,,,Strategy 15: POLLUTION REDUCTION & MANAGEMENT,,,,,Strategy 16: CLIMATE CHANGE POLICIES & OTHER ACTIONS,,,,,"Strategy 17: Strategies 1-3 land management across private, public, forestry",,,,,"Strategy 18: Strategies 4,5,8,9 - Aquatic, riparian combined",,,,,"Strategy 19: Strategies 7,8,15,16 - Policy suite combined",,,,,"Strategy 20: Strategies 5,10 - Salmon and Flow combined strategy",,,,,"Strategy 21: Strategies 1,3,14 Predator, Land management - Turtles",,,,,Strategy 22: Strategies 1 -16 combined,,,,,,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,,11,,,12,,,13,,,14,,,15,,,16,,,"Strategies 1-3 land management across private, public, forestry",,,"Strategies 4,5,8,9 - Aquatic, riparian combined",,," Strategies 7,8,15,16 - Policy suite combined",,,"Strategies 5,10 - Salmon and Flow combined strategy",,,"Strategies 1,3,14 Predator, Land management - Turtles",,,Strategies 1-16 combined,,,,STRATEGY: 1 + 2 + 3,,,STRATEGY: 4 + 5 + 8 + 9,,,,STRATEGY: 7 + 8 + 15 + 16,,,,STRATEGY: 5 + 10,,STRATEGY: 1 + 3 + 14,,,STRATEGY: All,,,,,,,,,,,,,,,
Ecological Group,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,Best guess,Lower,Upper,Confidence,QUALITY CHECK,,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,Best guess,Lower,Upper,,Check if >1,Check if >2,Check if >3,Check if >4,Check if >5,Check if >8,Check if >9,Check if >7,Check if >8,Check if >15,Check if >16,Check if >5,Check if >10,Check if >1,Check if >3,Check if >14,Check if All > #1,Check if All > #2,Check if All > #3,Check if All > #4,Check if All > #5,Check if All > #6,Check if All > #7,Check if All > #8,Check if All > #9,Check if All > #10,Check if All > #11,Check if All > #12,Check if All > #13,Check if All > #14,Check if All > #15,Check if All > #16
Migratory Fish,50,35,65,80,GOOD,55,35,65,80,GOOD,55,35,65,80,GOOD,55,35,65,80,GOOD,65,50,70,80,GOOD,65,50,75,80,GOOD,70,50,90,80,GOOD,50,40,65,80,GOOD,55,35,65,80,GOOD,65,50,75,80,GOOD,65,50,75,80,GOOD,X,X,X,X,#VALUE!,X,X,X,X,#VALUE!,55,40,70,80,GOOD,B,B,B,70,#VALUE!,B,B,B,70,#VALUE!,55,35,65,80,GOOD,55,35,80,80,GOOD,65,35,80,80,GOOD,60,35,75,80,GOOD,65,35,70,80,GOOD,X,X,X,X,#VALUE!,70,50,90,80,GOOD,,5,0,0,5,0,0,5,0,0,15,15,5,15,15,10,20,15,25,0,5,0,5,0,0,15,15,10,15,15,10,0,0,0,0,0,0,5,5,5,0,0,0,0,0,0,5,0,0,5,0,15,15,0,15,10,0,10,15,0,5,NA,NA,NA,20,15,25,,0,0,0,0,0,10,0,10,5,10,5,0,0,X,X,X,15,15,15,5,5,0,20,15,5,5,20,20,15,20,20,15
Riparian Species,60,45,70,70,GOOD,65,60,70,70,GOOD,70,60,80,70,GOOD,70,65,80,70,GOOD,70,65,80,75,GOOD,70,60,80,75,GOOD,70,60,80,75,GOOD,60,50,70,70,GOOD,70,60,80,70,GOOD,70,60,80,75,GOOD,X,X,X,X,#VALUE!,X,X,X,X,#VALUE!,X,X,X,X,#VALUE!,60,45,70,60,GOOD,60,45,70,50,GOOD,60,45,70,60,GOOD,70,60,80,70,GOOD,75,50,80,70,GOOD,75,50,80,70,GOOD,70,45,80,70,GOOD,70,60,80,75,GOOD,75,60,80,70,GOOD,75,60,80,70,GOOD,,5,15,0,10,15,10,10,20,10,10,20,10,10,15,10,10,15,10,0,5,0,10,15,10,10,15,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15,10,15,5,10,15,5,10,10,0,10,10,15,10,15,15,10,15,15,10,,10,5,5,5,5,5,5,10,0,10,0,0,10,10,5,15,10,5,5,5,5,5,15,5,5,15,15,15,15,15,15,5
Aquatic Species,60,30,70,60,GOOD,B,B,B,50,#VALUE!,65,50,75,60,GOOD,65,50,75,60,GOOD,70,60,80,70,GOOD,70,60,80,65,GOOD,70,60,85,65,GOOD,B,B,B,x,#VALUE!,65,50,75,60,GOOD,70,60,80,65,GOOD,70,60,80,65,GOOD,X,X,X,X,#VALUE!,X,X,X,X,#VALUE!,65,40,70,60,GOOD,65,40,70,50,GOOD,65,40,70,60,GOOD,65,55,80,60,GOOD,70,45,75,60,GOOD,70,45,75,60,GOOD,65,30,80,55,GOOD,70,60,80,65,GOOD,70,50,75,60,GOOD,70,50,75,60,GOOD,,0,0,0,5,20,5,5,20,5,10,30,10,10,30,10,10,30,15,0,0,0,5,20,5,10,30,10,10,30,10,0,0,0,0,0,0,5,10,0,5,10,0,5,10,0,5,25,10,10,15,5,10,15,5,5,0,10,10,30,10,10,20,5,10,20,5,,10,5,5,0,0,5,0,5,0,0,0,0,0,10,5,5,10,5,5,0,0,0,10,5,0,0,10,10,5,5,5,5
